D_Name;D_SMILES;D_HOMO;D_LUMO;D_lamda_max;Solvent;A_Name;A_HOMO;A_LUMO;A_lamda_max;VOC (V);JSC (mA/cm²);FF (%);PCE (%);Ratio;REFERENCE;Conversion_Status
MPHS-Ph;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10ccccc%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3ccccc3)C2=O)s1;-5,33;-3,51;564;THF;BTP-eC9;-5,64;-4,05;828;0,859;23,63;72,75;14,77;1,8/1;[1];✅ OK
MPHS-Ph;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10ccccc%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3ccccc3)C2=O)s1;-5,33;-3,51;564;THF;BTP-eC9;-5,64;-4,05;828;0,858;23,16;73,22;14,48;1,9/1;[1];✅ OK
MPHS-Ph;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10ccccc%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3ccccc3)C2=O)s1;-5,33;-3,51;564;THF;BTP-eC9;-5,64;-4,05;828;0,861;22,61;74,36;14,48;02,0/01;[1];✅ OK
MPhS-C2;CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1;-5,35;-3,45;522;THF;BTP-eC9;-5,64;-4,05;828;0,867;24,42;72,75;15,67;1,8/1;[1];✅ OK
MPhS-C2;CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1;-5,35;-3,45;522;THF;BTP-eC9;-5,64;-4,05;828;0,857;23,66;74,62;15,14;1,9/1;[1];✅ OK
MPhS-C2;CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1;-5,35;-3,45;522;THF;BTP-eC9;-5,64;-4,05;828;0,854;23,63;74,44;15,03;02,0/01;[1];✅ OK
BSTR-h;CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1;-5,31;-3,53;579;CF;N3;-5,64;-4,08;751;0,782;25,18;70,08;13,8;01:01;[2];✅ OK
BSTR-f;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4cc(F)c(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1;-5,44;-3,56;575;CF;N3;-5,64;-4,08;751;0,835;24,89;76,64;15,93;01:01;[2];✅ OK
BSTR-cl;CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1;-5,45;-3,54;574;CF;N3;-5,64;-4,08;751;0,833;25,05;74,71;15,59;01:01;[2];✅ OK
BSTR-br;CCCCCCc1cc(-c2cc3c(-c4cc(Br)c(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Br)c(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1;-5,53;-3,53;572;CF;N3;-5,64;-4,08;751;0,827;22,84;72;13,6;01:01;[2];✅ OK
MPhS-C2;CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1;-5,35;-3,45;589;CF;L8-S9;-5,73;-3,66;831;0,894;25,37;73,14;16,59;1,7:1;[3];✅ OK
MPhS-C2;CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1;-5,35;-3,45;589;CF;L8-BO;-5,76;-3,88;796;0,875;25,69;70,72;15,9;1,7:2;[3];✅ OK
B3TR;CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CC)C3=O)s2)s1;-5,22;-3,67;588;CF;BTP-eC9;-5,64;-4,05;828;0,809;25,5;72;14,8;01:01;[4];✅ OK
B3TR;CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CC)C3=O)s2)s1;-5,22;-3,67;588;CB;BTP-eC9;-5,64;-4,05;828;0,808;24,9;0,683;13,8;01:01;[4];✅ OK
B3TR;CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CC)C3=O)s2)s1;-5,22;-3,67;588;THF;BTP-eC9;-5,64;-4,05;828;0,802;24,6;0,676;13,4;01:01;[4];✅ OK
B2;CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8cc(CCCCCC)c(-c9ccc(/C=C%10/SC(=S)N(CC)C%10=O)s9)s8)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CC)C2=O)s1;-5,23;-3,67;609;CF;BTP-eC9;-5,64;-4,05;828;0,861;26,2;75,8;17,1;01:01;[4];✅ OK
B2;CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8cc(CCCCCC)c(-c9ccc(/C=C%10/SC(=S)N(CC)C%10=O)s9)s8)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CC)C2=O)s1;-5,23;-3,67;609;CF;BTP-eC9;-5,64;-4,05;828;0,857;26,1;72,7;16,1;01:01;[4];✅ OK
B2;CCCCCCc1cc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8cc(CCCCCC)c(-c9ccc(/C=C%10/SC(=S)N(CC)C%10=O)s9)s8)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CC)C2=O)s1;-5,23;-3,67;609;CF;BTP-eC9;-5,64;-4,05;828;0,861;25,8;66,9;14,9;01:01;[4];✅ OK
CA-CO;CCN(CC)c1ccc2cc(C(=O)/C=C/c3c4ccccc4cc4ccccc34)c(=O)oc2c1;-5,55;-3,59;476;CF;Y6;-5,7;-4,08;833;0,84;20,98;69;12,27;01:01,2;[5];✅ OK
CA-CO;CCN(CC)c1ccc2cc(C(=O)/C=C/c3c4ccccc4cc4ccccc34)c(=O)oc2c1;-5,55;-3,59;476;CF;DBTBT-IC;-5,77;-3,88;660;0,97;14,92;64;9,41;01:01,2;[5];✅ OK
BTR-Cl;CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,46;-3,7;580;CF;Y6;-5,65;-4,1;836;0,83;23,66;74,7;14,7;1,6:1;[6];✅ OK
B1;CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)cc4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)cc4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCC)C3=O)s2)s1;-5,1;-3,51;626;CB;BO-4Cl;-5,66;-4,09;822;0,83;25,27;73;15,3;01:01;[7];✅ OK
B1;CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)cc4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)cc4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCC)C3=O)s2)s1;-5,1;-3,51;626;CF;BO-4Cl;-5,66;-4,09;822;0,82;24,34;75;15;01:01;[7];✅ OK
BTR;CCCCCCc1cc(-c2c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc23)sc1CC(CC)CCCC;-5,34;-3,52;620;CB;BO-4Cl;-5,66;-4,09;822;0,83;18,67;67;10,4;01:01;[7];✅ OK
BTR;CCCCCCc1cc(-c2c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc23)sc1CC(CC)CCCC;-5,34;-3,52;620;CF;BO-4Cl;-5,66;-4,09;822;0,83;18,93;72;11,3;01:01;[7];✅ OK
BM-Cl;CCCCCCc1cc(-c2cc3c(-c4cccc(SCC(CC)CCCC)c4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7sc(/C=C8\SC(=S)N(CCCCC)C8=O)cc7Cl)s6)s5)cc4c(-c4cccc(SCC(CC)CCCC)c4)c3s2)sc1-c1cc(CCCCCC)c(-c2sc(/C=C3\SC(=S)N(CCCCC)C3=O)cc2Cl)s1;-4,98;-3,06;584;CF;BO-4Cl;-5,6;-4,16;833;0,806;26,23;72,9;15,4;01:01;[8];✅ OK
BM-ClEH;CCCCCCc1cc(-c2cc3c(-c4cccc(SCC(CC)CCCC)c4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7sc(/C=C8\SC(=S)N(C(CC)CCCC)C8=O)cc7Cl)s6)s5)cc4c(-c4cccc(SCC(CC)CCCC)c4)c3s2)sc1-c1cc(CCCCCC)c(-c2sc(/C=C3\SC(=S)N(C(CC)CCCC)C3=O)cc2Cl)s1;-5,06;-3,2;569;CF;BO-4Cl;-5,57;-4,14;835;0,835;22,26;73,6;13,7;01:01;[8];✅ OK
BM-ClEH;CCCCCCc1cc(-c2cc3c(-c4cccc(SCC(CC)CCCC)c4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7sc(/C=C8\SC(=S)N(C(CC)CCCC)C8=O)cc7Cl)s6)s5)cc4c(-c4cccc(SCC(CC)CCCC)c4)c3s2)sc1-c1cc(CCCCCC)c(-c2sc(/C=C3\SC(=S)N(C(CC)CCCC)C3=O)cc2Cl)s1;-5,06;-3,2;569;THF;BO-4Cl;-5,57;-4,14;835;0,846;24,38;72,7;15;01:01;[8];✅ OK
BDTT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,17;-3,43;708;THF;Y6;-5,7;-4,08;833;0,784;20,56;47,74;7,7;01:01;[10];✅ OK
BDTT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,17;-3,43;708;THF;Y6;-5,7;-4,08;833;0,793;23,4;54,57;10,12;1,2:1;[10];✅ OK
BDTT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,17;-3,43;708;THF;Y6;-5,7;-4,08;833;0,786;23,57;58,57;10,92;1,4:1;[10];✅ OK
BDTT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,17;-3,43;708;THF;Y6;-5,7;-4,08;833;0,78;22,45;58,94;11,18;1,6:1;[10];✅ OK
BDTT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,17;-3,43;708;THF;Y6;-5,7;-4,08;833;0,78;23,64;66,06;12,18;1,8:1;[10];✅ OK
BDTT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,17;-3,43;708;THF;Y6;-5,7;-4,08;833;0,785;23,52;64,51;11,92;02:01;[10];✅ OK
TBFT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1;-5,16;-3,46;727;THF;Y6;-5,7;-4,08;833;0,785;22,69;48,92;8,71;01:01;[10];✅ OK
TBFT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1;-5,16;-3,46;727;THF;Y6;-5,7;-4,08;833;0,779;23,52;59,29;10,86;1,2:1;[10];✅ OK
TBFT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1;-5,16;-3,46;727;THF;Y6;-5,7;-4,08;833;0,78;23,59;64,4;11,85;1,4:1;[10];✅ OK
TBFT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1;-5,16;-3,46;727;THF;Y6;-5,7;-4,08;833;0,784;24,32;67,27;12,83;1,6:1;[10];✅ OK
TBFT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1;-5,16;-3,46;727;THF;Y6;-5,7;-4,08;833;0,784;24,59;72,78;14,03;1,8:1;[10];✅ OK
TBFT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1;-5,16;-3,46;727;THF;Y6;-5,7;-4,08;833;0,785;24,21;69,15;13,14;02:01;[10];✅ OK
TBFT-TR;CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1;-5,16;-3,46;727;THF;N3;-5,64;-4,08;751;0,774;24,5;72,57;13,76;1,8:1;[10];✅ OK
BSCl-C1;CCCCCCc1cc(/C=C2\SC(=O)N(C(CC)CCCC)C2=O)sc1-c1cc2sc(-c3cc4c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c5sc(-c6sc7cc(-c8sc(/C=C9\SC(=O)N(C(CC)CCCC)C9=O)cc8CCCCCC)sc7c6CCCCCC)cc5c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c4s3)c(CCCCCC)c2s1;-5,59;-3,34;664,6;CF;IDIC-4Cl;-5,88;-3,98;755,8;0,564;4,7;33,9;0,9;1,5:1;[11];✅ OK
BSCl-C2;CCCCCCc1cc(/C=C2\SC(=O)N(CC(CC)CCCC)C2=O)sc1-c1cc2sc(-c3cc4c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c5sc(-c6sc7cc(-c8sc(/C=C9\SC(=O)N(CC(CC)CCCC)C9=O)cc8CCCCCC)sc7c6CCCCCC)cc5c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c4s3)c(CCCCCC)c2s1;-5,58;-3,39;680,7;CF;IDIC-4Cl;-5,88;-3,98;755,8;0,865;20,1;71,3;12,4;1,5:1;[11];✅ OK
BSCl-C3;CCCCCCc1cc(/C=C2\SC(=O)N(CCC(CC)CCCC)C2=O)sc1-c1cc2sc(-c3cc4c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c5sc(-c6sc7cc(-c8sc(/C=C9\SC(=O)N(CCC(CC)CCCC)C9=O)cc8CCCCCC)sc7c6CCCCCC)cc5c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c4s3)c(CCCCCC)c2s1;-5,55;-3,37;675,4;CF;IDIC-4Cl;-5,88;-3,98;755,8;0,87;14,2;67;8,25;1,5:1;[11];✅ OK
ZR1;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CCCCCC)C2=O)s1;-5,32;-3,35;620;CF;Y6;-5,72;-4,1;820;0,855;20,56;67,07;11,8;01:00,4;[11];✅ OK
ZR1;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CCCCCC)C2=O)s1;-5,32;-3,35;620;CF;Y6;-5,72;-4,1;820;0,861;24,34;68,44;14,34;01:00,5;[11];✅ OK
