D_Name;D_SMILES;D_HOMO;D_LUMO;D_lamda_max;Solvent;A_Name;A_HOMO;A_LUMO;A_lamda_max;VOC (V);JSC (mA/cm²);FF (%);PCE (%);Ratio;REFERENCE;Conversion_Status
ZR1;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CCCCCC)C2=O)s1;-5,32;-3,35;620;CF;Y6;-5,72;-4,1;820;0,869;21,18;62,24;11,46;01:06,0;[13];✅ OK
ZR1;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CCCCCC)C2=O)s1;-5,32;-3,35;620;CF;IDIC-4Cl;-5,91;-4,1;756;0,789;17,14;66,37;9,08;01:00,4;;✅ OK
ZR1;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CCCCCC)C2=O)s1;-5,32;-3,35;620;CF;IDIC-4Cl;-5,91;-4,1;756;0,776;18,27;67,96;9,64;01:00,5;;✅ OK
ZR1;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CCCCCC)C2=O)s1;-5,32;-3,35;620;CF;IDIC-4Cl;-5,91;-4,1;756;0,785;17,53;66,03;9,2;01:06,0;;✅ OK
DCAO3TBDTT;CCCCCCCCc1cc(/C=C(\C#N)C(=O)OCC(CC)CCCC)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(SCC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C(\C#N)C(=O)OCC(CC)CCCC)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(SCC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,37;-3,38;567;CN;Y6;-5,65;-4,1;833;0,804;21,71;60,95;10,64;02:01;[12];✅ OK
BTEC-1F;CCCCCCCCc1cc(/C=C(\C#N)C(=O)OCC(CC)CCC)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(SCC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C(\C#N)C(=O)OCC(CC)CCCC)cc8CCCCCCCC)s7)s6)cc5c(-c5cc(F)c(SCC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,39;-3,37;561;CN;Y6;-5,65;-4,1;833;0,87;21,21;61,35;11,33;02:01;[12];✅ OK
BTEC-2F;CCCCCCCCc1cc(/C=C(\C#N)C(=O)OCC(CC)CCCC)sc1-c1ccc(-c2sc(-c3cc4c(-c5sc(SCC(CC)CCCC)c(F)c5F)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C(\C#N)C(=O)OCC(CC)CCCC)cc8CCCCCCCC)s7)s6)cc5c(-c5sc(SCC(CC)CCCC)c(F)c5F)c4s3)cc2CCCCCCCC)s1;-5,39;-3,38;561;CN;Y6;-5,65;-4,1;833;0,854;21,55;72,35;13,34;02:01;[12];✅ OK
BT-2F;CCCCCCc1cc(-c2cc3c(-c4sc(SCC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s7)s6)s5)cc4c(-c4sc(SCC(CC)CCCC)c(F)c4F)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s2)s1;-5,4;-4,4;554;CF;Y6;-5,65;-4,1;833;0,853;22,38;72,27;13,8;01:01;[14];✅ OK
SM1-F;CCCCCCCCc1cc(/C=C(\C#N)C(=O)OCC(CC)CCCC)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(C(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C(\C#N)C(=O)OCC(CC)CCCC)cc8CCCCCCCC)s7)s6)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,37;-2,81;556;CF;Y6;-5,65;-4,1;833;0,866;23,25;69,9;14,07;2,2:1;[15];✅ OK
SM1;CCCCCCCCc1cc(/C=C(\C#N)C(=O)OCC(CC)CCCC)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(C(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C(\C#N)C(=O)OCC(CC)CCCC)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,25;-2,78;567;CF;Y6;-5,65;-4,1;833;0,805;23,59;67;12,72;2,2:1;[15];✅ OK
SM1-S;CCCCCCCCc1cc(/C=C(\C#N)C(=O)OCC(CC)CCCC)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(SCC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C(\C#N)C(=O)OCC(CC)CCCC)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(SCC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,32;-2,81;562;CF;Y6;-5,65;-4,1;833;0,825;23,23;67,7;12,94;2,2:1;[15];✅ OK
BTTzR;CCCCCCc1sc(-c2c3cc(-c4sc(-c5nc6sc(-c7cc(C(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)cc4C(CC)CCCC)sc3c(-c3cc(C(CC)CCCC)c(CCCCCC)s3)c3cc(-c4sc(-c5nc6sc(-c7cc(C(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)cc4C(CC)CCCC)sc23)cc1C(CC)CCCC;-5,58;-3,59;575;CF;Y6;-5,65;-4,1;833;0,88;23,2;68;13,9;01:01;[133];✅ OK
S-BF;Cc1cc(-c2cc3c(-c4ccc(SCC(C)C)c(F)c4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(C)C)c(F)c4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,32;-2,8;624;CB;L8-BO;-5,69;-3,91;800;0,885;24,91;63,44;13,99;01:01;[16];✅ OK
S-BF;Cc1cc(-c2cc3c(-c4ccc(SCC(C)C)c(F)c4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(C)C)c(F)c4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,32;-2,8;624;CB;L8-BO;-5,69;-3,91;800;0,86;23,61;70,48;14,31;1,2:1;[16];✅ OK
S-BF;Cc1cc(-c2cc3c(-c4ccc(SCC(C)C)c(F)c4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(C)C)c(F)c4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,32;-2,8;624;CB;L8-BO;-5,69;-3,91;800;0,868;22,91;69,39;14,92;1,4:1;[16];✅ OK
S-BF;Cc1cc(-c2cc3c(-c4ccc(SCC(C)C)c(F)c4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(C)C)c(F)c4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,32;-2,8;624;CB;L8-BO;-5,69;-3,91;800;0,863;21,44;73,23;13,23;1,6:1;[16];✅ OK
S-TCp;Cc1cc(-c2cc3c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,27;-2,76;627;CB;L8-BO;-5,69;-3,91;800;0,856;25,48;66,41;14,5;01:01;[16];✅ OK
S-TCp;Cc1cc(-c2cc3c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,27;-2,76;627;CB;L8-BO;-5,69;-3,91;800;0,861;25,07;70,95;15,33;1,2:1;[16];✅ OK
S-TCp;Cc1cc(-c2cc3c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,27;-2,76;627;CB;L8-BO;-5,69;-3,91;800;0,87;24,59;73,83;15,77;1,4:1;[16];✅ OK
S-TCp;Cc1cc(-c2cc3c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,27;-2,76;627;CB;L8-BO;-5,69;-3,91;800;0,863;21,47;73,22;13,56;1,6:1;[16];✅ OK
As-TCp;Cc1cc(-c2cc3c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(C)C)c(F)c4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,3;-2,78;626;CB;L8-BO;-5,69;-3,91;800;0,878;23,83;69,22;14,49;01:01;[16];✅ OK
As-TCp;Cc1cc(-c2cc3c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(C)C)c(F)c4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,3;-2,78;626;CB;L8-BO;-5,69;-3,91;800;0,869;24,5;70,54;14,98;1,2:1;[16];✅ OK
As-TCp;Cc1cc(-c2cc3c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(C)C)c(F)c4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,3;-2,78;626;CB;L8-BO;-5,69;-3,91;800;0,873;25,17;74,9;16,46;1,4:1;[16];✅ OK
As-TCp;Cc1cc(-c2cc3c(-c4cc(Cl)c(CCCCCCC5CCCC5)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(C)C)c(F)c4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,3;-2,78;626;CB;L8-BO;-5,69;-3,91;800;0,866;24,31;73,84;15,54;1,6:1;[16];✅ OK
SM-R;Cc1cc(-c2cc3c(-c4sc(SCC(C)C)c(F)c4F)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(C)C)c(F)c4F)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,35;-3,57;578;CF;N3;-5,64;-4,08;751;0,84;22,84;58,78;11,32;01:01,5;[17];✅ OK
SM-R;Cc1cc(-c2cc3c(-c4sc(SCC(C)C)c(F)c4F)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(C)C)c(F)c4F)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,35;-3,57;578;CF;N3;-5,64;-4,08;751;0,86;24,64;66,2;14;01:01;[17];✅ OK
SM-R;Cc1cc(-c2cc3c(-c4sc(SCC(C)C)c(F)c4F)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(C)C)c(F)c4F)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,35;-3,57;578;CF;N3;-5,64;-4,08;751;0,85;24,18;66,92;13,69;1,5:1;[17];✅ OK
SM-REH;Cc1cc(-c2cc3c(-c4sc(SCC(C)C)c(F)c4F)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C(C)C)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(C)C)c(F)c4F)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C(C)C)C3=O)s2)s1;-5,4;-3,56;573;CF;N3;-5,64;-4,08;751;0,85;24,81;67,77;14,25;01:01,5;[17];✅ OK
SM-REH;Cc1cc(-c2cc3c(-c4sc(SCC(C)C)c(F)c4F)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C(C)C)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(C)C)c(F)c4F)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C(C)C)C3=O)s2)s1;-5,4;-3,56;573;CF;N3;-5,64;-4,08;751;0,85;25,42;72,4;15,6;01:01;[17];✅ OK
SM-REH;Cc1cc(-c2cc3c(-c4sc(SCC(C)C)c(F)c4F)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C(C)C)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(C)C)c(F)c4F)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C(C)C)C3=O)s2)s1;-5,4;-3,56;573;CF;N3;-5,64;-4,08;751;0,85;25,03;69,46;14,71;1,5:1;[17];✅ OK
SM-EH-R;Cc1cc(-c2cc3c(-c4sc(SCC(C)C)c(F)c4F)c4sc(-c5cc(C)c(-c6cc(C(C)C)c(-c7ccc(/C=C8/SC(=S)N(C(C)C)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(C)C)c(F)c4F)c3s2)sc1-c1cc(C(C)C)c(-c2ccc(/C=C3/SC(=S)N(C(C)C)C3=O)s2)s1;-5,41;-3,57;570;CF;N3;-5,64;-4,08;751;0,86;20,82;63,08;11,29;01:01,5;[17];✅ OK
SM-EH-R;Cc1cc(-c2cc3c(-c4sc(SCC(C)C)c(F)c4F)c4sc(-c5cc(C)c(-c6cc(C(C)C)c(-c7ccc(/C=C8/SC(=S)N(C(C)C)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(C)C)c(F)c4F)c3s2)sc1-c1cc(C(C)C)c(-c2ccc(/C=C3/SC(=S)N(C(C)C)C3=O)s2)s1;-5,41;-3,57;570;CF;N3;-5,64;-4,08;751;0,85;23,73;71,3;14,4;01:01;[17];✅ OK
SM-EH-R;Cc1cc(-c2cc3c(-c4sc(SCC(C)C)c(F)c4F)c4sc(-c5cc(C)c(-c6cc(C(C)C)c(-c7ccc(/C=C8/SC(=S)N(C(C)C)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(C)C)c(F)c4F)c3s2)sc1-c1cc(C(C)C)c(-c2ccc(/C=C3/SC(=S)N(C(C)C)C3=O)s2)s1;-5,41;-3,57;570;CF;N3;-5,64;-4,08;751;0,86;21,62;61,24;11,39;1,5:1;[17];✅ OK
SM-EH-REH;CCCCCCc1cc(-c2cc3c(-c4sc(SCC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6cc(C(CC)CCCC)c(-c7ccc(/C=C8/SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(CC)CCCC)c(F)c4F)c3s2)sc1-c1cc(C(CC)CCCC)c(-c2ccc(/C=C3/SC(=S)N(CCCCCC)C3=O)s2)s1;-5,41;-3,54;572;CF;N3;-5,64;-4,08;751;0,85;22,89;67,33;13,18;01:01,5;[17];✅ OK
SM-EH-REH;CCCCCCc1cc(-c2cc3c(-c4sc(SCC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6cc(C(CC)CCCC)c(-c7ccc(/C=C8/SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(CC)CCCC)c(F)c4F)c3s2)sc1-c1cc(C(CC)CCCC)c(-c2ccc(/C=C3/SC(=S)N(CCCCCC)C3=O)s2)s1;-5,41;-3,54;572;CF;N3;-5,64;-4,08;751;0,85;23,73;71,33;14,39;01:01;[17];✅ OK
SM-EH-REH;CCCCCCc1cc(-c2cc3c(-c4sc(SCC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6cc(C(CC)CCCC)c(-c7ccc(/C=C8/SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(CC)CCCC)c(F)c4F)c3s2)sc1-c1cc(C(CC)CCCC)c(-c2ccc(/C=C3/SC(=S)N(CCCCCC)C3=O)s2)s1;-5,41;-3,54;572;CF;N3;-5,64;-4,08;751;0,84;24,17;68,85;14,06;1,5:1;[17];✅ OK
SW1;Cc1cc(-c2cc3c(-c4ccc(SCC(C)C)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(C)C)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,42;-3,43;581;CF;Y6;-5,7;-4,08;833;0,806;25,09;63,8;12,9;01:00,7;[18];✅ OK
SW2;Cc1cc(-c2cc3c(-c4cnc(SCC(C)C)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cnc(SCC(C)C)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,47;-3,45;572;CF;Y6;-5,7;-4,08;833;0,83;21,57;67;12;01:00,5;[18];✅ OK
SW2;Cc1cc(-c2cc3c(-c4cnc(SCC(C)C)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cnc(SCC(C)C)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,47;-3,45;572;CF;Y6;-5,7;-4,08;833;0,829;22,9;72;13,68;01:00,6;[18];✅ OK
SW2;Cc1cc(-c2cc3c(-c4cnc(SCC(C)C)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cnc(SCC(C)C)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,47;-3,45;572;CF;Y6;-5,7;-4,08;833;0,835;25,1;74;15,51;01:00,7;[18];✅ OK
SW2;Cc1cc(-c2cc3c(-c4cnc(SCC(C)C)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cnc(SCC(C)C)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,47;-3,45;572;CF;Y6;-5,7;-4,08;833;0,836;24,3;70,1;14,22;01:00,8;[18];✅ OK
SW2;Cc1cc(-c2cc3c(-c4cnc(SCC(C)C)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cnc(SCC(C)C)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,47;-3,45;572;CF;Y6;-5,7;-4,08;833;0,837;23,68;57,7;11,48;01:01;[18];✅ OK
SW2;Cc1cc(-c2cc3c(-c4cnc(SCC(C)C)s4)c4sc(-c5cc(C)c(-c6cc(C)c(-c7ccc(/C=C8/SC(=S)N(C)C8=O)s7)s6)s5)cc4c(-c4cnc(SCC(C)C)s4)c3s2)sc1-c1cc(C)c(-c2ccc(/C=C3/SC(=S)N(C)C3=O)s2)s1;-5,47;-3,45;572;CF;Y6;-5,7;-4,08;833;0,838;23,1;48,3;9,37;01:01,2;[18];✅ OK
BO-1;CCCCCCc1cc(-c2cc3c(-c4cnc(SCC(CCCC)CCCCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4cnc(SCC(CCCC)CCCCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1;-5,3;-3,51;580;CF;BTP-eC9;-5,64;-4,05;828;0,845;25,56;77,74;16,79;01:00,7;[19];✅ OK
HD-1;CCCCCCCCC(CCCCCC)CSc1ncc(-c2c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7/SC(=S)N(C(CC)CCCC)C7=O)s6)s5)s4)sc3c(-c3cnc(SCC(CCCCCC)CCCCCCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7/SC(=S)N(C(CC)CCCC)C7=O)s6)s5)s4)sc23)s1;-5,31;-3,46;582;CF;BTP-eC9;-5,64;-4,05;828;0,842;26,04;78,46;17,19;01:00,7;[19];✅ OK
OD-1;CCCCCCCCCCC(CCCCCCCC)CSc1ncc(-c2c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7/SC(=S)N(C(CC)CCCC)C7=O)s6)s5)s4)sc3c(-c3cnc(SCC(CCCCCCCC)CCCCCCCCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7/SC(=S)N(C(CC)CCCC)C7=O)s6)s5)s4)sc23)s1;-5,36;-3,48;581;CF;BTP-eC9;-5,64;-4,05;828;0,828;25,49;71,89;15,18;01:00,7;[19];✅ OK
CBTSeHR;CCCCCCCCc1cc(/C=C2/SC(=S)N(CCCCCC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(Cl)c(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9/SC(=S)N(CCCCCC)C9=O)cc8CCCCCCCC)[se]7)s6)cc5c(-c5cc(Cl)c(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)[se]1;-5,47;-3,62;631;CF;FO-2Cl;-5,83;-3,9;760;0,881;18,76;73,2;12,1;01:01,1;[20];✅ OK
