D_Name;D_SMILES;D_HOMO;D_LUMO;D_lamda_max;Solvent;A_Name;A_HOMO;A_LUMO;A_lamda_max;VOC (V);JSC (mA/cm²);FF (%);PCE (%);Ratio;REFERENCE;Conversion_Status
ZR1-C3;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,24;-3,53;562;CF;BTP-C11-N2Cl;-5,47;-4,04;800;0,89;20,06;61,23;11,01;01:01,1;[ZR1];✅ OK
ZR1-C3;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,24;-3,53;562;CF;BTP-eC9-N2F;-5,46;3,96;780;0,9;20,02;62,89;11,44;01:01,1;[ZR1];✅ OK
ZR1-C3;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,24;-3,53;562;CF;BTP-eC9-N4F;-5,51;-4,02;830;0,86;23,63;69;14,29;01:01,1;[ZR1];✅ OK
ZR-C8;CCCCCCCCc1ccc(-c2c3sc4cc(-c5cc(CCCCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)sc4c3c(-c3ccc(CCCCCCCC)s3)c3sc4cc(-c5cc(CCCCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)sc4c23)s1;-5,32;-2,81;562;CF;Y6;-5,7;-4,08;833;0,829;25;58,8;12,2;01:01,1;[Pilar];✅ OK
ZR-SiO;CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CCCCCC(C)(O[Si](C)(C)C)O[Si](C)(C)C)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCCCCC(C)(O[Si](C)(C)C)O[Si](C)(C)C)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,32;-2,81;562;CF;Y6;-5,7;-4,08;833;0,852;26;72,3;16;01:01,1;[Pilar];✅ OK
ZR-SiO-EH;CCCCCCCCc1cc(-c2cc3sc4c(-c5cc(CC(CC)CCCC)c(CCCCCC(C)(O[Si](C)(C)C)O[Si](C)(C)C)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5cc(CC(CC)CCCC)c(CCCCCC(C)(O[Si](C)(C)C)O[Si](C)(C)C)s5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,32;-2,81;562;CF;Y6;-5,7;-4,08;833;0,87;25,6;73,7;16,4;01:01,1;[Pilar];✅ OK
SL1;CCCCCCc1cc(-c2c3cc(-c4ccc(-c5nc6sc(-c7cc(CC(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4ccc(-c5nc6sc(-c7cc(CC(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)s4)sc23)sc1CC(CC)CCCC;-5,58;-3,59;562;CF;Y6;-5,7;-4,08;833;0,87;23,2;68;13,9;01:01;[Pilar-154];✅ OK
SL2;CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5nc6sc(-c7cc(CC(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(-c4ccc(-c5nc6sc(-c7cc(CC(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)s4)sc23)s1;-5,6;-3,62;562;CF;Y6;-5,7;-4,08;833;0,98;21,5;60;11,5;01:01;[Pilar-154];✅ OK
SL3;CCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5nc6sc(-c7cc(CC(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)s4)sc3c(-c3cc(CCCCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4ccc(-c5nc6sc(-c7cc(CC(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)s4)sc23)sc1CC(CC)CCCC;-5,58;-3,6;562;CF;Y6;-5,7;-4,08;833;0,88;21,6;67;12,7;01:01;[Pilar-154];✅ OK
SL4;CCCCCCc1cc(-c2c3cc(-c4ccc(-c5nc6sc(-c7cc(CC(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)s4)sc3c(-c3cc(CCCCCC)c(CCCCCC)s3)c3cc(-c4ccc(-c5nc6sc(-c7cc(CC(CC)CCCC)c(/C=C8\SC(=S)N(CCCC)C8=O)s7)nc6s5)s4)sc23)sc1CCCCCC;-5,57;-3,57;562;CF;Y6;-5,7;-4,08;833;0,87;23;62;12,4;01:01;[Pilar-154];✅ OK
SM-CA;CCCCCCc1cc(-c2cc3c(-c4sc(CC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s7)s6)s5)cc4c(-c4sc(CC(CC)CCCC)c(F)c4F)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s2)s1;-5,4;-3,4;651;CF;N3;-5,64;-4,08;751;0,838;24,33;75,62;15,41;01:01;[155];✅ OK
SM-CA-Reh;CCCCCCc1cc(-c2cc3c(-c4sc(CC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s7)s6)s5)cc4c(-c4sc(CC(CC)CCCC)c(F)c4F)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CC(CC)CCCC)C3=O)s2)s1;-5,52;-3,53;668;CF;N3;-5,64;-4,08;751;0,842;25,06;77,5;16,34;01:01;[155];✅ OK
SM-Reh;CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(/C=C7\SC(=S)N(CC(CC)CCCC)C7=O)s6)s5)s4)sc3c(-c3sc(CC(CC)CCCC)c(F)c3F)c3cc(-c4ccc(-c5ccc(-c6ccc(/C=C7\SC(=S)N(CC(CC)CCCC)C7=O)s6)s5)s4)sc23)c(F)c1F;-5,55;-3,6;672;CF;N3;-5,64;-4,08;751;0,834;25,42;69,64;14,76;01:01;[155];✅ OK
SM-CA-ID;CCCCCCc1cc(-c2cc3c(-c4sc(CC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s7)s6)s5)cc4c(-c4sc(CC(CC)CCCC)c(F)c4F)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(C=C3C(=O)c4ccccc4C3=O)s2)s1;-5,33;-3,6;707;CF;N3;-5,64;-4,08;751;0,82;21,99;45,49;8,2;01:01;[155];✅ OK
SM-ID;CCCCCCc1cc(-c2cc3c(-c4sc(CC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(C=C8C(=O)c9ccccc9C8=O)s7)s6)s5)cc4c(-c4sc(CC(CC)CCCC)c(F)c4F)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(C=C3C(=O)c4ccccc4C3=O)s2)s1;-5,25;-3,61;712;CF;N3;-5,64;-4,08;751;0,823;10,54;31,79;2,79;01:01;[155];✅ OK
MPhS-C2;CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CC)C7=O)s6)s5)sc4c23)c1;-5,35;-3,45;605;CF;BTP-eC9;-5,64;-4,05;828;0,886;26,2;69,52;16,54;01:01;[156];✅ OK
MPhS-C4;CCCCCCCCC(CCCCCC)CSc1cccc(-c2c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CCCC)C7=O)s6)s5)sc4c3c(-c3cccc(SCC(CCCCCC)CCCCCCCC)c3)c3sc4cc(-c5ccc(-c6ccc(/C=C7/SC(=S)N(CCCC)C7=O)s6)s5)sc4c23)c1;-5,39;-3,45;607;CF;BTP-eC10;-5,64;-4,05;828;0,873;25,61;70,28;15,73;01:01;[156];✅ OK
MPhS-C6;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,35;-4,1;610;CF;BTP-eC11;-5,64;-4,05;828;0,84;25,49;75,6;16,2;01:01;[156];✅ OK
B1;CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)cc4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)cc4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CCCC)C3=O)s2)s1;-5,24;-2,64;580;CF;BO-4Cl;-5,69;-3,87;822;0,822;25,14;72,5;14,98;01:01;[Pilar];✅ OK
BM-Cl;CCCCCCc1cc(-c2sc(-c3cc4c(-c5cccc(SCC(CC)CCCC)c5)c5sc(-c6cc(CCCCCC)c(-c7sc(-c8ccc(/C=C9/SC(=S)N(CCCC)C9=O)s8)c(CCCCCC)c7Cl)s6)cc5c(-c5cccc(SCC(CC)CCCC)c5)c4s3)c(Cl)c2CCCCCC)sc1-c1ccc(/C=C2/SC(=S)N(CCCC)C2=O)s1;-5,31;-2,73;587;CF;BO-4Cl;-5,69;-3,87;822;0,826;25,9;73,55;15,73;01:01;[Pilar];✅ OK
C-2F;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(CC(CC)CCCC)c(F)c4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4cc(F)c(CC(CC)CCCC)c(F)c4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,4;-3,4;504;CF;N3;-5,64;-4,08;751;0,85;24,87;69,33;14,64;1.6:1;[Pilar];✅ OK
3DTBDT;CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3sc4cc(-c5cc6sc7c(-c8ccc(CC(CCCCCC)CCCCCCCC)s8)c8c(sc9cc(-c%10cc%11sc%12c(-c%13ccc(CC(CCCCCC)CCCCCCCC)s%13)c%13c(sc%14cc(/C=C%15/SC(=S)N(CCCCCC)C%15=O)sc%14%13)c(-c%13ccc(CC(CCCCCC)CCCCCCCC)s%13)c%12c%11s%10)sc98)c(-c8ccc(CC(CCCCCC)CCCCCCCC)s8)c7c6s5)sc4c3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3sc4cc(/C=C5/SC(=S)N(CCCCCC)C5=O)sc4c23)s1;-5,3;-2,78;587;CF;L8-BO;-5,73;-3,88;831;0,847;22,84;70,98;13,74;01:01;[Pilar];✅ OK
BDT-BCl;CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)c(Cl)c4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)c(Cl)c4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,3;-2,78;618;CF;L8-BO;-5,73;-3,88;831;0,88;23,74;67,73;14,1;01:01,6;[Pilar];✅ OK
TBD-BCl;CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)c(Cl)c4)c4sc5cc(-c6cc(CCCCCC)c(-c7cc(CCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)s6)sc5c4c(-c4ccc(SCC(CC)CCCC)c(Cl)c4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,3;-2,78;617;CF;L8-BO;-5,73;-3,88;831;0,91;24,95;71,13;16,2;01:01,6;[Pilar];✅ OK
BSFTR;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4cc(F)c(SC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1;-5,59;-3,61;620;CF;FO-2Cl;-5,83;-3,9;765;0,885;22,01;78,41;15,27;01:01;[15-08-2025];✅ OK
BSFTR;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4cc(F)c(SC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(CC)CCCC)C3=O)s2)s1;-5,59;-3,61;620;CF;FO-EH-2Cl;-5,73;-3,9;761;0,876;22,39;80,44;15,78;01:01;[15-08-2025];✅ OK
SM-n-Bu;CCCCCCc1cc(-c2cc3c(-c4ccc(C(CC)CCCC)cc4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(C(CC)CCCC)cc4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CCCC)C3=O)s2)s1;-5,19;-3,61;573;CF;BO-4Cl;-5,66;-4,09;822;0,83;25,26;72,12;15,12;01:01;[1508];✅ OK
SM-s-Bu;CCCCCCc1cc(-c2cc3c(-c4ccc(C(CC)CCCC)cc4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(C(C)CC)C8=O)s7)s6)s5)cc4c(-c4ccc(C(CC)CCCC)cc4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(C(C)CC)C3=O)s2)s1;-5,24;-3,53;566;CF;BO-4Cl;-5,66;-4,09;822;0,822;25,69;74,34;16,06;01:01;[1508];✅ OK
FSBTSeHR;CCCCCCCCc1cc(/C=C2/SC(=S)N(CCCCCC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(SCC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9/SC(=S)N(CCCCCC)C9=O)cc8CCCCCCCC)[se]7)s6)cc5c(-c5cc(F)c(SCC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)[se]1;-5,4;-3,62;641;CF;BTP-eC9;-5,64;-4,07;828;0,84;22,26;67,5;12,35;01:01,2;[15081];✅ OK
BTR-Cl;CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,46;-3,7;580;CB;BTP-Fl-Fl;-5,7;-3,92;830;0,85;21,75;69,63;13,3;01:01,2;[18081];✅ OK
W2-Reh;CCCCCCc1cc(-c2cc3c(-c4cnc(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CC(CC)CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CC(CC)CCCC)C3=O)s2)s1;-5,16;-3,48;495;CF;Y6;-5,7;-4,08;833;0,83;25,19;76,8;16,06;01:00,8;[180802];✅ OK
W2-CA;CCCCCCc1cc(-c2cc3c(-c4cnc(SCC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s2)s1;-5,17;-3,53;500;CF;Y6;-5,7;-4,08;833;0,82;25,31;74,8;15,63;01:00,8;[180802];✅ OK
SM8;CCCCCCCCSc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C(\C#N)C(=O)OCC(CC)CCCC)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(SCCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C(\C#N)C(=O)OCC(CC)CCCC)cc6CCCCCCCC)s5)s4)sc23)s1;-5,21;-3,55;580;CF;BO-4Cl;-5,66;-4,09;822;0,85;21,23;72,5;13,11;01:01;[20081];✅ OK
BT-Ro-Cl;CCCCCCCCOC(=O)/C(C#N)=C/c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6cc(C)c(CC(CC)CCCC)s6)c6sc(-c7ccc(-c8ccc(-c9ccc(/C=C(\C#N)C(=O)OCCCCCCCC)s9)s8)s7)cc6c(-c6cc(C)c(CC(CC)CCCC)s6)c5s4)s3)s2)s1;-5,41;-3,57;560;CF;Y6;-5,7;-4,08;833;0,86;22,5;68,6;13,35;01:01;[20081];✅ OK
BT-Reh-Cl;CCCCC(CC)COC(=O)/C(C#N)=C/c1ccc(-c2ccc(-c3ccc(-c4cc5c(-c6cc(C)c(CC(CC)CCCC)s6)c6sc(-c7ccc(-c8ccc(-c9ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s9)s8)s7)cc6c(-c6cc(C)c(CC(CC)CCCC)s6)c5s4)s3)s2)s1;-5,41;-3,58;564;CF;Y6;-5,7;-4,08;833;0,86;22,93;69,8;13,9;01:01;[20081];✅ OK
BTR-Te;CCCCCCN1C(=O)/C(=C/c2ccc(-c3sc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8cc(C)c(-c9cc(C)c(-c%10ccc(/C=C%11\SC(=S)N(CCCCCC)C%11=O)s%10)s9)s8)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4C)cc3C)s2)SC1=S;-5,39;-3,33;578;CF;Y6;-5,66;-4,09;822;0,84;23,4;67;13;1: à,06;[PILAR];✅ OK
SD86;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8sc(/C=C9/SC(=S)N(CCCCCC)C9=O)cc8Cl)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1sc(/C=C2/SC(=S)N(CCCCCC)C2=O)cc1Cl;-5,4;-3,68;575;CF;BTP-eC9;-5,62;-3,98;828;0,84;24,7;75,24;15,61;1,7:1;[SD86];✅ OK
SM-EH-R;CCCCCCc1cc(-c2cc3c(-c4sc(SCC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6cc(C(CC)CCCC)c(-c7ccc(/C=C8/SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4sc(SCC(CC)CCCC)c(F)c4F)c3s2)sc1-c1cc(C(CC)CCCC)c(-c2ccc(/C=C3/SC(=S)N(CCCCCC)C3=O)s2)s1;-5,41;-3,57;552;CF;N3;-5,64;-4,08;751;0,85;21,96;63,4;11,9;01:01;[pilar];✅ OK
BBTSM1;CCCCCCCCc1cc(/C=C(/C#N)C(=O)OCC(CC)CCCC)sc1-c1ccc(-c2sc(-c3nc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C(/C#N)C(=O)OCC(CC)CCCC)cc8CCCCCCCC)s7)s6)nc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,58;-3,51;563;CF;Y6;-5,7;-4,08;833;0,87;21,6;63;11,8;1,8:1;[pilar];✅ OK
GSMD-syn;CCCCCCc1cc(/C=C2\SC(=O)N(CCCCCC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5cc(Cl)c(CC(CC)CCCC)s5)c5sc(-c6cc7c(-c8cc(Cl)c(CC(CC)CCCC)s8)c8sc(-c9cc%10c(-c%11cc(Cl)c(CC(CC)CCCC)s%11)c%11sc(-c%12cc(CCCCCC)c(-c%13ccc(-c%14sc(/C=C%15\SC(=O)N(CCCCCC)C%15=O)cc%14CCCCCC)s%13)s%12)cc%11c(-c%11cc(Cl)c(CC(CC)CCCC)s%11)c%10s9)cc8c(-c8cc(Cl)c(CC(CC)CCCC)s8)c7s6)cc5c(-c5cc(Cl)c(CC(CC)CCCC)s5)c4s3)cc2CCCCCC)s1;-5,47;-3,63;558;CF;Y6;-5,7;-4,08;833;0,88;24,35;56;11,95;02:01;[GSMD];✅ OK
GSMD-anti;CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(CC(CC)CCCC)s4)c4sc(-c5cc6c(-c7cc(Cl)c(CC(CC)CCCC)s7)c7sc(-c8cc9c(-c%10cc(Cl)c(CC(CC)CCCC)s%10)c%10sc(-c%11cc(CCCCCC)c(-c%12cc(CCCCCC)c(-c%13ccc(/C=C%14\SC(=O)N(CCCCCC)C%14=O)s%13)s%12)s%11)cc%10c(-c%10cc(Cl)c(CC(CC)CCCC)s%10)c9s8)cc7c(-c7cc(Cl)c(CC(CC)CCCC)s7)c6s5)cc4c(-c4cc(Cl)c(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=O)N(CCCCCC)C3=O)s2)s1;-5,45;-3,61;562;CF;Y6;-5,7;-4,08;833;0,87;24,54;72;15,4;1,5:1;[GSMD];✅ OK
MPHS-P-1F;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10ccc(F)cc%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3ccc(F)cc3)C2=O)s1;-5,36;-3,47;550;CF;BTP-eC9;-5,64;-4,07;828;0,871;20,25;67,24;11,85;1,6:1;[mphs];✅ OK
MPHS-P-1F;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10ccc(F)cc%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3ccc(F)cc3)C2=O)s1;-5,36;-3,47;550;CF;BTP-eC9;-5,64;-4,07;828;0,874;21,42;67,25;11,56;02:01;[mphs];✅ OK
