D_Name;D_SMILES;D_HOMO;D_LUMO;D_lamda_max;Solvent;A_Name;A_HOMO;A_LUMO;A_lamda_max;VOC (V);JSC (mA/cm²);FF (%);PCE (%);Ratio;REFERENCE;Conversion_Status
MPHS-P-1F;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10ccc(F)cc%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3ccc(F)cc3)C2=O)s1;-5,36;-3,47;550;CF;BTP-eC9;-5,64;-4,07;828;0,874;21,42;69,98;13,11;1,8:1;[mphs];✅ OK
MPHS-m-2F;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10cc(F)cc(F)c%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3cc(F)cc(F)c3)C2=O)s1;-5,38;-3,44;551;CF;BTP-eC9;-5,64;-4,07;828;0,885;20,19;64,99;11,62;1,6:1;[mphs];✅ OK
MPHS-m-2F;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10cc(F)cc(F)c%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3cc(F)cc(F)c3)C2=O)s1;-5,38;-3,44;551;CF;BTP-eC9;-5,64;-4,07;828;0,869;18,22;63,5;10,05;02:01;[mphs];✅ OK
MPHS-m-2F;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10cc(F)cc(F)c%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3cc(F)cc(F)c3)C2=O)s1;-5,38;-3,44;551;CF;BTP-eC9;-5,64;-4,07;828;0,872;20,85;67,85;12,33;1,8:1;[mphs];✅ OK
MPHS-m-1F;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10cccc(F)c%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3cccc(F)c3)C2=O)s1;-5,36;-3,54;552;CF;BTP-eC9;-5,64;-4,07;828;0,848;23,46;73,81;14,78;1,6:1;[mphs];✅ OK
MPHS-m-1F;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10cccc(F)c%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3cccc(F)c3)C2=O)s1;-5,36;-3,54;552;CF;BTP-eC9;-5,64;-4,07;828;0,846;19,88;72,69;12,23;02:01;[mphs];✅ OK
MPHS-m-1F;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(Cc%10cccc(F)c%10)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(Cc3cccc(F)c3)C2=O)s1;-5,36;-3,54;552;CF;BTP-eC9;-5,64;-4,07;828;0,857;24,82;75,72;16,1;1,8:1;[mphs];✅ OK
MPHS-C6;CCCCCCCCc1cc(-c2cc3sc4c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5cccc(SCC(CCCCCC)CCCCCCCC)c5)c4c3s2)sc1-c1ccc(/C=C2\SC(=S)N(CCCCCC)C2=O)s1;-5,35;-4,1;610;CF;Y6;-5,7;-4,08;833;0,83;24,34;75,74;15,31;1,9:1;[mphs-c6-Y6];✅ OK
FBD-S3;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c4sc5cc(-c6cc(CCCCCC)c(-c7cc(CCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)s6)sc5c4c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c3o2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,29;-3,13;624;CF;Y6;-5,7;-4,08;833;0,847;18,69;48,23;7,63;01:01;[21];✅ OK
FBD-S3;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c4sc5cc(-c6cc(CCCCCC)c(-c7cc(CCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)s6)sc5c4c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c3o2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,29;-3,13;624;CF;Y6;-5,7;-4,08;833;0,845;20,89;61,95;10,94;1,4:1;[21];✅ OK
FBD-S3;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c4sc5cc(-c6cc(CCCCCC)c(-c7cc(CCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)s6)sc5c4c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c3o2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,29;-3,13;624;CF;Y6;-5,7;-4,08;833;0,849;20,7;65,13;11,45;02:01;[21];✅ OK
FBD-S3;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c4sc5cc(-c6cc(CCCCCC)c(-c7cc(CCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)s6)sc5c4c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c3o2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,29;-3,13;624;CF;Y6;-5,7;-4,08;833;0,849;21,77;67,74;12,53;1,8:01:00;[21];✅ OK
TBD-S4;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c4sc5cc(-c6cc(CCCCCC)c(-c7cc(CCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)s6)sc5c4c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,31;-3,14;618;CF;Y6;-5,7;-4,08;833;0,851;22,82;52,27;10,15;01:01;[21];✅ OK
TBD-S4;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c4sc5cc(-c6cc(CCCCCC)c(-c7cc(CCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)s6)sc5c4c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,31;-3,14;618;CF;Y6;-5,7;-4,08;833;0,851;23,86;63,42;12,87;1,4:1;[21];✅ OK
TBD-S4;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c4sc5cc(-c6cc(CCCCCC)c(-c7cc(CCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)s6)sc5c4c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,31;-3,14;618;CF;Y6;-5,7;-4,08;833;0,852;22,77;71,26;13,82;02:01;[21];✅ OK
TBD-S4;CCCCCCc1cc(-c2cc3c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c4sc5cc(-c6cc(CCCCCC)c(-c7cc(CCCCCC)c(-c8ccc(/C=C9\SC(=S)N(CCCCCC)C9=O)s8)s7)s6)sc5c4c(-c4cc(F)c(SCC(CCCC)CCCCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,31;-3,14;618;CF;Y6;-5,7;-4,08;833;0,854;24,53;72,1;15,1;1,8:1;[21];✅ OK
DRCN5T;CCCCCCCCc1cc(/C=c2\sc(=C(C#N)C#N)n(CC)c2=O)sc1-c1cc(CCCCCCCC)c(-c2ccc(-c3sc(-c4sc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)cc4CCCCCCCC)cc3CCCCCCCC)s2)s1;-5,22;-3,41;693;CF;IDIC8-M;-5,51;-3,76;709;1,002;10,36;60,7;6,31;01:01;[1111];✅ OK
DRCN5T;CCCCCCCCc1cc(/C=c2\sc(=C(C#N)C#N)n(CC)c2=O)sc1-c1cc(CCCCCCCC)c(-c2ccc(-c3sc(-c4sc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)cc4CCCCCCCC)cc3CCCCCCCC)s2)s1;-5,22;-3,41;693;CF;IDIC8-H;-5,52;-3,72;701;0,952;13,44;62,5;8;01:00,8;[1111];✅ OK
DRCN5T;CCCCCCCCc1cc(/C=c2\sc(=C(C#N)C#N)n(CC)c2=O)sc1-c1cc(CCCCCCCC)c(-c2ccc(-c3sc(-c4sc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)cc4CCCCCCCC)cc3CCCCCCCC)s2)s1;-5,22;-3,41;693;CF;IDIC8-F;-5,51;-3,82;725;0,864;15,21;64,1;8,42;01:01;[1111];✅ OK
DRCN5T;CCCCCCCCc1cc(/C=c2\sc(=C(C#N)C#N)n(CC)c2=O)sc1-c1cc(CCCCCCCC)c(-c2ccc(-c3sc(-c4sc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)cc4CCCCCCCC)cc3CCCCCCCC)s2)s1;-5,22;-3,41;693;CF;F-0Cl;-5,5;-3,8;750;1,09;9,64;52,3;5,49;01:00,5;[1111];✅ OK
DRCN5T;CCCCCCCCc1cc(/C=c2\sc(=C(C#N)C#N)n(CC)c2=O)sc1-c1cc(CCCCCCCC)c(-c2ccc(-c3sc(-c4sc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)cc4CCCCCCCC)cc3CCCCCCCC)s2)s1;-5,22;-3,41;693;CF;F-1Cl;-5,6;-3,9;780;0,975;13,07;63,7;8,12;01:00,8;[1111];✅ OK
DRCN5T;CCCCCCCCc1cc(/C=c2\sc(=C(C#N)C#N)n(CC)c2=O)sc1-c1cc(CCCCCCCC)c(-c2ccc(-c3sc(-c4sc(/C=c5\sc(=C(C#N)C#N)n(CC)c5=O)cc4CCCCCCCC)cc3CCCCCCCC)s2)s1;-5,22;-3,41;693;CF;F-2Cl;-5,83;-3,9;760;0,906;15,97;68,4;9,89;01:00,8;[1111];✅ OK
DRCN7T;CCCCCCCCc1cc(/C=c2\sc(=C(C#N)C#N)n(CC)c2=O)sc1-c1cc(CCCCCCCC)c(-c2sc(-c3ccc(-c4cc(CCCCCCCC)c(-c5sc(-c6sc(/C=c7\sc(=C(C#N)C#N)n(CC)c7=O)cc6CCCCCCCC)cc5CCCCCCCC)s4)s3)cc2CCCCCCCC)s1;-5,21;-3,54;535;CF;Y6;-5,7;-4,08;833;0,76;8,44;36,48;2,48;01:01;[1111];✅ OK
2F7T;CCCCCCCCc1cc(/C=c2\sc(=C(C#N)C#N)n(CC)c2=O)sc1-c1cc(CCCCCCCC)c(-c2sc(-c3sc(-c4cc(CCCCCCCC)c(-c5sc(-c6sc(/C=c7\sc(=C(C#N)C#N)n(CC)c7=O)cc6CCCCCCCC)cc5CCCCCCCC)s4)c(F)c3F)cc2CCCCCCCC)s1;-5,29;-3,61;520;CF;Y6;-5,7;-4,08;833;0,79;20,89;54,13;9,41;1,2:1;[1111];✅ OK
2Cl7T;CCCCCCCCc1cc(/C=c2\sc(=C(C#N)C#N)n(CC)c2=O)sc1-c1cc(CCCCCCCC)c(-c2sc(-c3sc(-c4cc(CCCCCCCC)c(-c5sc(-c6sc(/C=c7\sc(=C(C#N)C#N)n(CC)c7=O)cc6CCCCCCCC)cc5CCCCCCCC)s4)c(Cl)c3Cl)cc2CCCCCCCC)s1;-5,39;-3,64;519;CF;Y6;-5,7;-4,08;833;0,83;19,69;68,15;11,45;02:01;[1111];✅ OK
DRTB-T;CCCCC(CC)Cc1ccc(-c2c3cc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(-c7cc8c(-c9ccc(CC(CC)CCCC)s9)c9sc(/C=C%10/SC(=O)N(CC)C%10=O)cc9c(-c9ccc(CC(CC)CCCC)s9)c8s7)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(/C=C4/SC(=O)N(CC)C4=O)sc23)s1;-5,51;-3,34;585;CF;F-2Cl;-5,83;-3,9;760;0,969;17,24;64,4;10,76;1 1,25;[1111];✅ OK
DRTB-T;CCCCC(CC)Cc1ccc(-c2c3cc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(-c7cc8c(-c9ccc(CC(CC)CCCC)s9)c9sc(/C=C%10/SC(=O)N(CC)C%10=O)cc9c(-c9ccc(CC(CC)CCCC)s9)c8s7)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(/C=C4/SC(=O)N(CC)C4=O)sc23)s1;-5,48;-3,56;586;CF;IDIC;-5,65;-3,97;710;0,98;14,22;65;9,06;1 1,25;[1111];✅ OK
DRTBT-T-C2;CCCCC(CC)Cc1ccc(-c2c3cc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(-c7cc8c(-c9ccc(CC(CC)CCCC)s9)c9sc(/C=C%10/SC(=O)N(CC)C%10=O)cc9c(-c9ccc(CC(CC)CCCC)s9)c8s7)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(/C=C4/SC(=O)N(CC)C4=O)sc23)s1;-5,51;-3,34;581;CF;IT-4F;-5,66;-4,14;800;0,893;16,66;64;9,52;01:01;[1111];✅ OK
DRTBT-T-C4;CCCCC(CC)Cc1ccc(-c2c3cc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(-c7cc8c(-c9ccc(CC(CC)CCCC)s9)c9sc(/C=C%10/SC(=O)N(C(C)CC)C%10=O)cc9c(-c9ccc(CC(CC)CCCC)s9)c8s7)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(/C=C4/SC(=O)N(C(C)CC)C4=O)sc23)s1;-5,51;-3,34;586;CF;IT-4F;-5,66;-4,14;800;0,909;18,27;68;11,24;01:01;[1111];✅ OK
DRTBT-T-C6;CCCCCN1C(=O)S/C(=C/c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8cc9c(-c%10ccc(CC(CC)CCCC)s%10)c%10sc(/C=C%11/SC(=O)N(CCCCC)C%11=O)cc%10c(-c%10ccc(CC(CC)CCCC)s%10)c9s8)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)C1=O;-5,51;-3,34;589;CF;IT-4F;-5,66;-4,14;800;0,929;17,92;63;10,52;01:01;[1111];✅ OK
DRTBT-T-C8;CCCCCCCN1C(=O)S/C(=C/c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(-c8cc9c(-c%10ccc(CC(CC)CCCC)s%10)c%10sc(/C=C%11/SC(=O)N(CCCCCCC)C%11=O)cc%10c(-c%10ccc(CC(CC)CCCC)s%10)c9s8)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)C1=O;-5,51;-3,34;581;CF;IT-4F;-5,66;-4,14;800;0,928;16,15;61;9,14;01:01;[1111];✅ OK
P2TBR;CCCCC(CC)COc1cc(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(/C=C6/SC(=O)N(CC)C6=O)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c(OCC(CC)CCCC)cc1-c1csc(-c2cc3c(-c4ccc(CC(CC)CCCC)s4)c4sc(/C=C5/SC(=O)N(CC)C5=O)cc4c(-c4ccc(CC(CC)CCCC)s4)c3s2)c1;-5,36;-3,64;554;CF;IDIC;-5,65;-3,97;710;0,94;17,5;70,1;11,5;01:01;[1111];✅ OK
DRTB-FT;CCCCC(CC)Cc1ccc(-c2c3cc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(-c7cc8c(-c9ccc(CC(CC)CCCC)s9)c9sc(/C=C%10/SC(=O)N(CC)C%10=O)cc9c(-c9ccc(CC(CC)CCCC)s9)c8s7)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(/C=C4/SC(=O)N(CC)C4=O)sc23)s1;-5,64;-3,61;587;CF;F-2Cl;-5,83;-3,9;760;1,07;13,46;53,2;7,66;01:00,8;[1111];✅ OK
3BDT-4;CCCCCCN1C(=O)S/C(=C/c2ccc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(-c7cc8c(-c9ccc(CC(CC)CCCC)s9)c9sc(-c%10cc%11c(-c%12ccc(CC(CC)CCCC)s%12)c%12sc(-c%13ccc(-c%14ccc(/C=C%15/SC(=O)N(CCCCCC)C%15=O)s%14)s%13)cc%12c(-c%12ccc(CC(CC)CCCC)s%12)c%11s%10)cc9c(-c9ccc(CC(CC)CCCC)s9)c8s7)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)s2)C1=O;-5,15;-3,44;564;CF;Y6;-5,7;-4,08;833;0,829;17;41,3;5,82;1 O,55;[1111];✅ OK
3BDT-5;CCCCC(CC)COC(=O)/C(C#N)=C/c1ccc(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc7c(-c8ccc(CC(CC)CCCC)s8)c8sc(-c9cc%10c(-c%11ccc(CC(CC)CCCC)s%11)c%11sc(-c%12ccc(-c%13ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s%13)s%12)cc%11c(-c%11ccc(CC(CC)CCCC)s%11)c%10s9)cc8c(-c8ccc(CC(CC)CCCC)s8)c7s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)s1;-5,15;-3,4;550;CF;Y6;-5,7;-4,08;833;0,84;21,3;58,1;10,4;2 O,55;[1111];✅ OK
DR3TBDTT;CCCCCCCCc1cc(/C=C2/SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9/SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,02;-3,27;637;CF;0-IDTBR;-5,51;-3,88;731;1,15;11,06;50;6,36;0,8 1;[1111];✅ OK
BT-2F;CCCCCCc1cc(-c2ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s2)sc1-c1sc(-c2cc3c(-c4sc(CC(CC)CCCC)c(F)c4F)c4sc(-c5cc(CCCCCC)c(-c6sc(-c7ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s7)cc6CCCCCC)s5)cc4c(-c4sc(CC(CC)CCCC)c(F)c4F)c3s2)cc1CCCCCC;-5,4;-3,4;611;CF;N3;-5,64;-4,08;751;0,84;23,81;70,22;14,09;01:01;[1111];✅ OK
BDT(X1);CCCCCCc1cc(-c2c3cc(-c4cc(CCCCCC)c(-c5sc(-c6ccc(/C=C(\C#N)C(=O)OCCCCC)s6)cc5CCCCCC)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5sc(-c6ccc(/C=C(\C#N)C(=O)OCCCCC)s6)cc5CCCCCC)s4)sc23)sc1CC(CC)CCCC;-5,29;-3,64;563;CF;IDIC;-5,65;-3,97;710;0,92;13,26;71;8,69;01:01;[1111];✅ OK
BDT(X2);CCCCCCc1cc(-c2c3cc(-c4cc(CCCCCC)c(-c5sc(-c6ccc(/C=C(\C#N)C(=O)OCC)s6)cc5CCCCCC)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5sc(-c6ccc(/C=C(\C#N)C(=O)OCC)s6)cc5CCCCCC)s4)sc23)sc1CC(CC)CCCC;-5,32;-3,63;563;CF;IDIC;-5,65;-3,97;710;0,94;12,9;58;7,04;01:01;[1111];✅ OK
BTR;CCCCCCc1cc(-c2c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc23)sc1CC(CC)CCCC;-5,34;-3,53;620;CF;Y6;-5,7;-4,08;833;0,85;22,25;56,4;10,67;01:01;[1111];✅ OK
BTR-Cl;CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,46;-3,7;573;CF;Y6;-5,7;-4,08;833;0,86;24,17;65,5;13,61;01:01;[1111];✅ OK
BTR-Cl;CCCCCCc1cc(-c2cc3c(-c4cc(Cl)c(CC(CC)CCCC)s4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8\SC(=S)N(CCCCCC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC(CC)CCCC)s4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CCCCCC)C3=O)s2)s1;-5,46;-3,7;573;CF;BTP-FCl-FCl;-5,7;-3,9;845;0,825;24,58;75,36;15,3;01:01;[1111];✅ OK
BTR;CCCCCCc1cc(-c2c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(CCCCCC)c(-c5cc(CCCCCC)c(-c6ccc(/C=C7\SC(=S)N(CCCCCC)C7=O)s6)s5)s4)sc23)sc1CC(CC)CCCC;-5,34;-3,51;620;CF;BO-4Cl;-5,69;-3,87;822;0,83;17,91;66;10,4;01:01;[1111];✅ OK
NDTSR;CCCCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)s4)cc4c(cc(-c5ccc(SCC(CC)CCCC)s5)c5cc(-c6cc(CCCCCCCC)c(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CC)C9=O)s8)s7)s6)sc54)c3s2)sc1-c1cc(CCCCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CC)C3=O)s2)s1;-5,25;-3,5;530;CF;IDIC;-5,65;-3,97;710;0,92;14,13;61,95;8,05;1:0.6;[1111];✅ OK
