D_Name,D_SMILES,D_HOMO,D_LUMO,D_lamda_max,A_Name,A_HOMO,A_LUMO,A_lamda_max,VOC (V),JSC (mA/cm²),FF (%),PCE (%),Ratio,D_gap,A_gap,delta_HOMO,delta_LUMO
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.784,24.59,72.78,14.03,1.8,1.7000000000000002,1.62,0.54,0.6200000000000001
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.785,24.21,69.15,13.14,2.0,1.7000000000000002,1.62,0.54,0.6200000000000001
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,N3,5.64,-4.08,751.0,0.774,24.5,72.57,13.76,1.8,1.7000000000000002,1.5599999999999996,0.47999999999999954,0.6200000000000001
BSCl-C1,ClC1=C(SCC(CC)CCCC)SC(C2=C3C(SC(C4=C(C(S5)=C(S4)C=C5C6=C(C=C(S6)/C=C7SC(N(C\7=O)C(CC)CCCC)=O)CCCCCC)CCCCCC)=C3)=C(C8=CC(Cl)=C(S8)SCC(CCCC)CC)C9=C2SC(C%10=C(CCCCCC)C%11=C(C=C(C%12=C(CCCCCC)C=C(/C=C%13C(N(C(CCCC)CC)C(S/%13)=O)=O)S%12)S%11)S%10)=C9)=C1,5.59,-3.34,664.6,IDIC-4Cl,5.88,-3.98,755.8,0.564,4.7,33.9,0.9,1.5,2.25,1.9,0.29000000000000004,0.6400000000000001
BSCl-C2,ClC1=C(SCC(CC)CCCC)SC(C2=C3C(SC(C4=C(C(S5)=C(S4)C=C5C6=C(C=C(S6)/C=C7SC(N(CC(CC)CCCC)C\7=O)=O)CCCCCC)CCCCCC)=C3)=C(C8=CC(Cl)=C(S8)SCC(CCCC)CC)C9=C2SC(C%10=C(CCCCCC)C%11=C(C=C(C%12=C(CCCCCC)C=C(/C=C%13C(N(CC(CCCC)CC)C(S/%13)=O)=O)S%12)S%11)S%10)=C9)=C1,5.58,-3.39,680.7,IDIC-4Cl,5.88,-3.98,755.8,0.865,20.1,71.3,12.4,1.5,2.19,1.9,0.2999999999999998,0.5899999999999999
BSCl-C3,ClC1=C(SCC(CC)CCCC)SC(C2=C3C(SC(C4=C(C(S5)=C(S4)C=C5C6=C(C=C(S6)/C=C7SC(N(CCC(CC)CCCC)C\7=O)=O)CCCCCC)CCCCCC)=C3)=C(C8=CC(Cl)=C(S8)SCC(CCCC)CC)C9=C2SC(C%10=C(CCCCCC)C%11=C(C=C(C%12=C(CCCCCC)C=C(/C=C%13C(N(CCC(CCCC)CC)C(S/%13)=O)=O)S%12)S%11)S%10)=C9)=C1,5.55,-3.37,675.4,IDIC-4Cl,5.88,-3.98,755.8,0.87,14.2,67.0,8.25,1.5,2.1799999999999997,1.9,0.33000000000000007,0.6099999999999999
ZR1,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCCCC)C=C(C(S4)=CC5=C4C6=C(C7=CC=C(CCC(CCCC)CCCCCC)S7)C(SC8=C9SC(C%10=CC(CCCCCCCC)=C(C%11=CC=C(/C=C%12SC(N(CCCCCC)C/%12=O)=S)S%11)S%10)=C8)=C9C(C(S%13)=CC=C%13CC(CCCCCC)CCCC)=C6S5)S3)N(CCCCCC)C1=S,5.32,-3.35,620.0,Y6,5.72,-4.1,820.0,0.855,20.56,67.07,11.8,2.5,1.9700000000000002,1.62,0.39999999999999947,0.7499999999999996
ZR1,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCCCC)C=C(C(S4)=CC5=C4C6=C(C7=CC=C(CCC(CCCC)CCCCCC)S7)C(SC8=C9SC(C%10=CC(CCCCCCCC)=C(C%11=CC=C(/C=C%12SC(N(CCCCCC)C/%12=O)=S)S%11)S%10)=C8)=C9C(C(S%13)=CC=C%13CC(CCCCCC)CCCC)=C6S5)S3)N(CCCCCC)C1=S,5.32,-3.35,620.0,Y6,5.72,-4.1,820.0,0.861,24.34,68.44,14.34,2.0,1.9700000000000002,1.62,0.39999999999999947,0.7499999999999996
ZR1,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCCCC)C=C(C(S4)=CC5=C4C6=C(C7=CC=C(CCC(CCCC)CCCCCC)S7)C(SC8=C9SC(C%10=CC(CCCCCCCC)=C(C%11=CC=C(/C=C%12SC(N(CCCCCC)C/%12=O)=S)S%11)S%10)=C8)=C9C(C(S%13)=CC=C%13CC(CCCCCC)CCCC)=C6S5)S3)N(CCCCCC)C1=S,5.32,-3.35,620.0,Y6,5.72,-4.1,820.0,0.869,21.18,62.24,11.46,0.1667,1.9700000000000002,1.62,0.39999999999999947,0.7499999999999996
ZR1,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCCCC)C=C(C(S4)=CC5=C4C6=C(C7=CC=C(CCC(CCCC)CCCCCC)S7)C(SC8=C9SC(C%10=CC(CCCCCCCC)=C(C%11=CC=C(/C=C%12SC(N(CCCCCC)C/%12=O)=S)S%11)S%10)=C8)=C9C(C(S%13)=CC=C%13CC(CCCCCC)CCCC)=C6S5)S3)N(CCCCCC)C1=S,5.32,-3.35,620.0,IDIC-4Cl,5.91,-4.1,756.0,0.789,17.14,66.37,9.08,2.5,1.9700000000000002,1.8100000000000005,0.5899999999999999,0.7499999999999996
ZR1,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCCCC)C=C(C(S4)=CC5=C4C6=C(C7=CC=C(CCC(CCCC)CCCCCC)S7)C(SC8=C9SC(C%10=CC(CCCCCCCC)=C(C%11=CC=C(/C=C%12SC(N(CCCCCC)C/%12=O)=S)S%11)S%10)=C8)=C9C(C(S%13)=CC=C%13CC(CCCCCC)CCCC)=C6S5)S3)N(CCCCCC)C1=S,5.32,-3.35,620.0,IDIC-4Cl,5.91,-4.1,756.0,0.776,18.27,67.96,9.64,2.0,1.9700000000000002,1.8100000000000005,0.5899999999999999,0.7499999999999996
ZR1,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(CCCCCCCC)C=C(C(S4)=CC5=C4C6=C(C7=CC=C(CCC(CCCC)CCCCCC)S7)C(SC8=C9SC(C%10=CC(CCCCCCCC)=C(C%11=CC=C(/C=C%12SC(N(CCCCCC)C/%12=O)=S)S%11)S%10)=C8)=C9C(C(S%13)=CC=C%13CC(CCCCCC)CCCC)=C6S5)S3)N(CCCCCC)C1=S,5.32,-3.35,620.0,IDIC-4Cl,5.91,-4.1,756.0,0.785,17.53,66.03,9.2,0.1667,1.9700000000000002,1.8100000000000005,0.5899999999999999,0.7499999999999996
DCAO3TBDTT,O=C(OCC(CC)CCCC)/C(C#N)=C/C1=CC(CCCCCCCC)=C(C2=CC=C(S2)C(SC(C3=CC4=C(S3)C(C5=CC=C(SCC(CC)CCCC)S5)=C6C(SC(C(S7)=CC(CCCCCCCC)=C7C8=CC=C(C9=C(CCCCCCCC)C=C(/C=C(C#N)/C(OCC(CCCC)CC)=O)S9)S8)=C6)=C4C%10=CC=C(S%10)SCC(CCCC)CC)=C%11)=C%11CCCCCCCC)S1,5.37,-3.38,567.0,Y6,5.65,-4.1,833.0,0.804,21.71,60.95,10.64,2.0,1.9900000000000002,1.5500000000000007,0.28000000000000025,0.7199999999999998
BTEC-1F,FC1=C(SCC(CC)CCCC)SC(C2=C3C(SC(C(S4)=CC(CCCCCCCC)=C4C5=CC=C(C6=C(CCCCCCCC)C=C(/C=C(C#N)/C(OCC(CCC)CC)=O)S6)S5)=C3)=C(C7=CC(F)=C(S7)SCC(CCCC)CC)C8=C2SC(C9=CC(CCCCCCCC)=C(C(S%10)=CC=C%10C%11=C(CCCCCCCC)C=C(S%11)/C=C(C(OCC(CC)CCCC)=O)\C#N)S9)=C8)=C1,5.39,-3.37,561.0,Y6,5.65,-4.1,833.0,0.87,21.21,61.35,11.33,2.0,2.0199999999999996,1.5500000000000007,0.2600000000000007,0.7299999999999995
BTEC-2F,FC1=C(SCC(CC)CCCC)SC(C2=C3C(SC(C(S4)=CC(CCCCCCCC)=C4C5=CC=C(C6=C(CCCCCCCC)C=C(/C=C(C#N)/C(OCC(CCCC)CC)=O)S6)S5)=C3)=C(C7=C(F)C(F)=C(S7)SCC(CCCC)CC)C8=C2SC(C9=CC(CCCCCCCC)=C(C(S%10)=CC=C%10C%11=C(CCCCCCCC)C=C(S%11)/C=C(C(OCC(CC)CCCC)=O)\C#N)S9)=C8)=C1F,5.39,-3.38,561.0,Y6,5.65,-4.1,833.0,0.854,21.55,72.35,13.34,2.0,2.01,1.5500000000000007,0.2600000000000007,0.7199999999999998
BT-2F,FC1=C(SCC(CCCC)CC)SC(C2=C3C(SC(C(S4)=CC(CCCCCC)=C4C5=CC(CCCCCC)=C(C6=CC=C(/C=C(C#N)/C(OCC(CCCC)CC)=O)S6)S5)=C3)=C(C7=C(F)C(F)=C(S7)SCC(CC)CCCC)C8=C2SC(C9=CC(CCCCCC)=C(C(S%10)=CC(CCCCCC)=C%10C%11=CC=C(S%11)/C=C(C(OCC(CC)CCCC)=O)\C#N)S9)=C8)=C1F,5.4,-4.4,554.0,Y6,5.65,-4.1,833.0,0.853,22.38,72.27,13.8,1.0,1.0,1.5500000000000007,0.25,0.3000000000000007
SM1-F,O=C(OCC(CC)CCCC)/C(C#N)=C/C1=CC(CCCCCCCC)=C(C2=CC=C(S2)C3=C(CCCCCCCC)C=C(C4=CC5=C(S4)C(C6=CC(F)=C(C(CCCC)CC)S6)=C7C(SC(C(S8)=CC(CCCCCCCC)=C8C9=CC=C(C%10=C(CCCCCCCC)C=C(/C=C(C#N)/C(OCC(CC)CCCC)=O)S%10)S9)=C7)=C5C%11=CC(F)=C(CC(CCCC)CC)S%11)S3)S1,5.37,-2.81,556.0,Y6,5.65,-4.1,833.0,0.866,23.25,69.9,14.07,2.2,2.56,1.5500000000000007,0.28000000000000025,1.2899999999999996
SM1,O=C(OCC(CC)CCCC)/C(C#N)=C/C1=CC(CCCCCCCC)=C(C2=CC=C(S2)C3=C(CCCCCCCC)C=C(C4=CC5=C(S4)C(C6=CC=C(C(CCCC)CC)S6)=C7C(SC(C(S8)=CC(CCCCCCCC)=C8C9=CC=C(C%10=C(CCCCCCCC)C=C(/C=C(C#N)/C(OCC(CC)CCCC)=O)S%10)S9)=C7)=C5C%11=CC=C(CC(CCCC)CC)S%11)S3)S1,5.25,-2.78,567.0,Y6,5.65,-4.1,833.0,0.805,23.59,67.0,12.72,2.2,2.47,1.5500000000000007,0.40000000000000036,1.3199999999999998
SM1-S,O=C(OCC(CC)CCCC)/C(C#N)=C/C1=CC(CCCCCCCC)=C(C2=CC=C(S2)C3=C(CCCCCCCC)C=C(C4=CC5=C(S4)C(C6=CC=C(SCC(CCCC)CC)S6)=C7C(SC(C(S8)=CC(CCCCCCCC)=C8C9=CC=C(C%10=C(CCCCCCCC)C=C(/C=C(C#N)/C(OCC(CC)CCCC)=O)S%10)S9)=C7)=C5C%11=CC=C(S%11)SCC(CCCC)CC)S3)S1,5.32,-2.81,562.0,Y6,5.65,-4.1,833.0,0.825,23.23,67.7,12.94,2.2,2.5100000000000002,1.5500000000000007,0.33000000000000007,1.2899999999999996
BTTzR,O=C(N(CCCC)C(S/1)=S)C1=C\C(S2)=C(C(CC)CCCC)C=C2C3=NC(S4)=C(S3)N=C4C5=CC(C(CC)CCCC)=C(S5)C6=CC7=C(C8=CC(C(CCCC)CC)=C(CCCCCC)S8)C9=C(C=C(C%10=C(C(CC)CCCC)C=C(C%11=NC(SC(C%12=CC(C(CC)CCCC)=C(/C=C%13C(N(CCCC)C(S/%13)=S)=O)S%12)=N%14)=C%14S%11)S%10)S9)C(C%15=CC(C(CCCC)CC)=C(CCCCCC)S%15)=C7S6,5.58,-3.59,575.0,Y6,5.65,-4.1,833.0,0.88,23.2,68.0,13.9,1.0,1.9900000000000002,1.5500000000000007,0.07000000000000028,0.5099999999999998
S-BF,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC=C(SCC(C)C)C(F)=C7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C)=O)=C%12)=C%12C(C%13=CC=C(SCC(C)C)C(F)=C%13)=C6S5)N(C)C1=S,5.32,-2.8,624.0,L8-BO,5.69,-3.91,800.0,0.885,24.91,63.44,13.99,1.0,2.5200000000000005,1.7800000000000002,0.3700000000000001,1.1100000000000003
S-BF,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC=C(SCC(C)C)C(F)=C7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C)=O)=C%12)=C%12C(C%13=CC=C(SCC(C)C)C(F)=C%13)=C6S5)N(C)C1=S,5.32,-2.8,624.0,L8-BO,5.69,-3.91,800.0,0.86,23.61,70.48,14.31,1.2,2.5200000000000005,1.7800000000000002,0.3700000000000001,1.1100000000000003
S-BF,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC=C(SCC(C)C)C(F)=C7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C)=O)=C%12)=C%12C(C%13=CC=C(SCC(C)C)C(F)=C%13)=C6S5)N(C)C1=S,5.32,-2.8,624.0,L8-BO,5.69,-3.91,800.0,0.868,22.91,69.39,14.92,1.4,2.5200000000000005,1.7800000000000002,0.3700000000000001,1.1100000000000003
S-BF,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC=C(SCC(C)C)C(F)=C7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C)=O)=C%12)=C%12C(C%13=CC=C(SCC(C)C)C(F)=C%13)=C6S5)N(C)C1=S,5.32,-2.8,624.0,L8-BO,5.69,-3.91,800.0,0.863,21.44,73.23,13.23,1.6,2.5200000000000005,1.7800000000000002,0.3700000000000001,1.1100000000000003
S-TCp,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC(Cl)=C(CCCCCCC8CCCC8)S7)C(SC(C(S9)=CC(C)=C9C%10=CC(C)=C(S%10)C(S%11)=CC=C%11/C=C%12C(N(C(S\%12)=S)C)=O)=C%13)=C%13C(C%14=CC(Cl)=C(CCCCCCC%15CCCC%15)S%14)=C6S5)N(C)C1=S,5.27,-2.76,627.0,L8-BO,5.69,-3.91,800.0,0.856,25.48,66.41,14.5,1.0,2.51,1.7800000000000002,0.4200000000000008,1.1500000000000004
S-TCp,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC(Cl)=C(CCCCCCC8CCCC8)S7)C(SC(C(S9)=CC(C)=C9C%10=CC(C)=C(S%10)C(S%11)=CC=C%11/C=C%12C(N(C(S\%12)=S)C)=O)=C%13)=C%13C(C%14=CC(Cl)=C(CCCCCCC%15CCCC%15)S%14)=C6S5)N(C)C1=S,5.27,-2.76,627.0,L8-BO,5.69,-3.91,800.0,0.861,25.07,70.95,15.33,1.2,2.51,1.7800000000000002,0.4200000000000008,1.1500000000000004
S-TCp,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC(Cl)=C(CCCCCCC8CCCC8)S7)C(SC(C(S9)=CC(C)=C9C%10=CC(C)=C(S%10)C(S%11)=CC=C%11/C=C%12C(N(C(S\%12)=S)C)=O)=C%13)=C%13C(C%14=CC(Cl)=C(CCCCCCC%15CCCC%15)S%14)=C6S5)N(C)C1=S,5.27,-2.76,627.0,L8-BO,5.69,-3.91,800.0,0.87,24.59,73.83,15.77,1.4,2.51,1.7800000000000002,0.4200000000000008,1.1500000000000004
S-TCp,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC(Cl)=C(CCCCCCC8CCCC8)S7)C(SC(C(S9)=CC(C)=C9C%10=CC(C)=C(S%10)C(S%11)=CC=C%11/C=C%12C(N(C(S\%12)=S)C)=O)=C%13)=C%13C(C%14=CC(Cl)=C(CCCCCCC%15CCCC%15)S%14)=C6S5)N(C)C1=S,5.27,-2.76,627.0,L8-BO,5.69,-3.91,800.0,0.863,21.47,73.22,13.56,1.6,2.51,1.7800000000000002,0.4200000000000008,1.1500000000000004
As-TCp,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC(Cl)=C(CCCCCCC8CCCC8)S7)C(SC(C(S9)=CC(C)=C9C%10=CC(C)=C(S%10)C(S%11)=CC=C%11/C=C%12C(N(C(S\%12)=S)C)=O)=C%13)=C%13C(C%14=CC=C(SCC(C)C)C(F)=C%14)=C6S5)N(C)C1=S,5.3,-2.78,626.0,L8-BO,5.69,-3.91,800.0,0.878,23.83,69.22,14.49,1.0,2.52,1.7800000000000002,0.39000000000000057,1.1300000000000003
As-TCp,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC(Cl)=C(CCCCCCC8CCCC8)S7)C(SC(C(S9)=CC(C)=C9C%10=CC(C)=C(S%10)C(S%11)=CC=C%11/C=C%12C(N(C(S\%12)=S)C)=O)=C%13)=C%13C(C%14=CC=C(SCC(C)C)C(F)=C%14)=C6S5)N(C)C1=S,5.3,-2.78,626.0,L8-BO,5.69,-3.91,800.0,0.869,24.5,70.54,14.98,1.2,2.52,1.7800000000000002,0.39000000000000057,1.1300000000000003
As-TCp,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC(Cl)=C(CCCCCCC8CCCC8)S7)C(SC(C(S9)=CC(C)=C9C%10=CC(C)=C(S%10)C(S%11)=CC=C%11/C=C%12C(N(C(S\%12)=S)C)=O)=C%13)=C%13C(C%14=CC=C(SCC(C)C)C(F)=C%14)=C6S5)N(C)C1=S,5.3,-2.78,626.0,L8-BO,5.69,-3.91,800.0,0.873,25.17,74.9,16.46,1.4,2.52,1.7800000000000002,0.39000000000000057,1.1300000000000003
As-TCp,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=CC(Cl)=C(CCCCCCC8CCCC8)S7)C(SC(C(S9)=CC(C)=C9C%10=CC(C)=C(S%10)C(S%11)=CC=C%11/C=C%12C(N(C(S\%12)=S)C)=O)=C%13)=C%13C(C%14=CC=C(SCC(C)C)C(F)=C%14)=C6S5)N(C)C1=S,5.3,-2.78,626.0,L8-BO,5.69,-3.91,800.0,0.866,24.31,73.84,15.54,1.6,2.52,1.7800000000000002,0.39000000000000057,1.1300000000000003
SM-R,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=C(F)C(F)=C(SCC(C)C)S7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C)=O)=C%12)=C%12C(C(S%13)=C(F)C(F)=C%13SCC(C)C)=C6S5)N(C)C1=S,5.35,-3.57,578.0,N3,5.64,-4.08,751.0,0.84,22.84,58.78,11.32,0.6667,1.7799999999999998,1.5599999999999996,0.29000000000000004,0.5100000000000002
SM-R,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=C(F)C(F)=C(SCC(C)C)S7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C)=O)=C%12)=C%12C(C(S%13)=C(F)C(F)=C%13SCC(C)C)=C6S5)N(C)C1=S,5.35,-3.57,578.0,N3,5.64,-4.08,751.0,0.86,24.64,66.2,14.0,1.0,1.7799999999999998,1.5599999999999996,0.29000000000000004,0.5100000000000002
SM-R,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=C(F)C(F)=C(SCC(C)C)S7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C)=O)=C%12)=C%12C(C(S%13)=C(F)C(F)=C%13SCC(C)C)=C6S5)N(C)C1=S,5.35,-3.57,578.0,N3,5.64,-4.08,751.0,0.85,24.18,66.92,13.69,1.5,1.7799999999999998,1.5599999999999996,0.29000000000000004,0.5100000000000002
SM-REH,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=C(F)C(F)=C(SCC(C)C)S7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C(C)C)=O)=C%12)=C%12C(C(S%13)=C(F)C(F)=C%13SCC(C)C)=C6S5)N(C(C)C)C1=S,5.4,-3.56,573.0,N3,5.64,-4.08,751.0,0.85,24.81,67.77,14.25,0.6667,1.8400000000000003,1.5599999999999996,0.23999999999999932,0.52
SM-REH,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=C(F)C(F)=C(SCC(C)C)S7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C(C)C)=O)=C%12)=C%12C(C(S%13)=C(F)C(F)=C%13SCC(C)C)=C6S5)N(C(C)C)C1=S,5.4,-3.56,573.0,N3,5.64,-4.08,751.0,0.85,25.42,72.4,15.6,1.0,1.8400000000000003,1.5599999999999996,0.23999999999999932,0.52
SM-REH,O=C(/C(S1)=C\C(S2)=CC=C2C3=C(C)C=C(S3)C(S4)=C(C)C=C4C5=CC6=C(C7=C(F)C(F)=C(SCC(C)C)S7)C(SC(C(S8)=CC(C)=C8C9=CC(C)=C(S9)C(S%10)=CC=C%10/C=C%11C(N(C(S\%11)=S)C(C)C)=O)=C%12)=C%12C(C(S%13)=C(F)C(F)=C%13SCC(C)C)=C6S5)N(C(C)C)C1=S,5.4,-3.56,573.0,N3,5.64,-4.08,751.0,0.85,25.03,69.46,14.71,1.5,1.8400000000000003,1.5599999999999996,0.23999999999999932,0.52
